key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,102.1334,,0,0,0,0,1,L2SPAN_2023_52,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_53,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[0.19375,-0.17125],[0.28875,0.39875],[-0.01125,-0.295],[0.05875,-0.0575],[0.365,-0.27625],[0.6375,0.27375],[-0.01875,0.235],[-0.3575,-0.05625],[-0.24625,0.04375]]",practice,"[0.20349014945652175,0.2603685461956522,0.3070227581521739,0.3070227581521739,0.3297724184782609]","[-0.14341032608695653,0.3909349524456522,-0.4805791440217391,-0.4797554347826087,-0.4414741847826087]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.7497000000029885,1.5145999999940472,3.962099999994038,4.414599999994053,5.332099999994043]","[""blk1"",""blk2""]","[0,0]",0,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_54,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_55,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.68625,-0.225],[-0.24625,0.04375],[0.4125,-0.1325],[0.16625,0.3825],[-0.01125,-0.295],[-0.4075,0.11875],[0.19375,-0.17125],[0.4625,0.35875],[0.0675,0.07375]]",practice,"[-0.25034816576086955,-0.6930197010869565,0.3417331861413043]","[0.014402173913043478,-0.22873641304347825,-0.4446883491847826]","[1,1,1]","[0,0,0]","[0,0,0]","[0.35030000001191297,1.364300000011923,2.9018000000119173]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_56,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,L2SPAN_2023_57,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.45875,-0.3],[-0.55125,-0.13375],[-0.09875,0.065],[0.05875,-0.0575],[-0.675,0.29875],[0.4625,0.35875],[-0.3575,-0.05625],[0.30125,-0.0175],[0.25625,0.0975]]",practice,"[-0.09630604619565217,-0.566312839673913,-0.44417459239130436,0.3563391644021739]","[0.056576936141304345,-0.15089588994565217,-0.2900220788043478,-0.4559952445652174]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.5313999999910664,1.3127999999970257,2.0492999999970323,4.6647999999970295]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_58,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_59,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.24625,0.04375],[0.57875,-0.31375],[0.1925,-0.295],[0.30125,-0.0175],[0.25625,0.0975],[-0.285,-0.27125],[-0.16125,-0.28],[0.0675,0.07375],[0.4625,0.35875]]",practice,"[0.5990319293478261,0.1636039402173913,-0.2704483695652174,0.3693868885869565]","[-0.29043393342391305,-0.32052479619565216,0.07609969429347826,-0.44368631114130436]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.6632000000029734,1.715299999997029,2.7154999999999916,4.063900000005958]","[""blk2"",""blk3"",""blk1""]","[1,0,0]",0,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_60,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,2.4219,,0,0,0,0,1,L2SPAN_2023_61,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_62,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.01125,-0.295],[0.30125,-0.0175],[-0.0225,0.395],[0.0675,0.07375],[-0.35125,0.36625],[-0.18625,0.41125],[0.19375,-0.17125],[-0.26625,0.235],[-0.12125,-0.12625]]",main,"[0.006275475543478261,0.2955163043478261,-0.023356827445652175,0.3620796535326087]","[0.35470023777173915,-0.009523607336956522,-0.32591287364130433,-0.43046875]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.9312999999970089,1.7480999999940252,2.4632000000029564,3.4824999999999875]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_63,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_64,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.18625,0.41125],[0.365,-0.27625],[0.0675,0.07375],[0.45375,0.175],[-0.24625,0.04375],[0.03125,-0.41],[-0.285,-0.27125],[-0.0225,0.395],[-0.675,0.29875]]",main,"[-0.18505859375,0.35006793478260867,0.029335088315217393,0.3192297894021739,0.3369819972826087]","[0.3944208559782609,-0.2706649116847826,0.06080587635869565,-0.48313094429347825,-0.45572775135869564]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4647999999970125,1.8160999999940373,2.74909999999403,3.9152999999970177,5.029599999994048]","[""blk1"",""blk2"",""blk3""]","[0,1,0]",0,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_65,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,L2SPAN_2023_66,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.285,-0.27125],[0.16625,0.3825],[0.62875,-0.1825],[-0.09875,0.065],[0.0675,0.07375],[-0.68625,-0.225],[0.03125,-0.41],[-0.4075,0.11875],[-0.16125,-0.28]]",main,"[0.5999617866847826,0.14960512907608695,-0.2630689538043478,0.44686226222826086]","[-0.19439962635869565,0.35825832201086955,-0.26601137907608696,-0.47099184782608694]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.5652000000029886,1.5480000000000018,3.064900000005963,4.348500000000001]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_67,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,2,0,2,0,1,
,,,,,,,,L2SPAN_2023_68,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.68625,-0.225],[-0.0225,0.395],[0.19375,-0.17125],[-0.285,-0.27125],[-0.35125,0.36625],[-0.09875,0.065],[0.05875,-0.0575],[0.03125,-0.41],[0.1925,-0.295]]",main,"[-0.29878566576086957,0.1628141983695652,-0.034188179347826086,-0.6682022758152174,0.47413383152173916]","[-0.25257302989130437,-0.16010954483695652,0.3733695652173913,-0.24571161684782608,-0.4411599864130435]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8977000000029705,1.7981000000089296,2.7787000000029707,3.6959000000059348,4.597400000005933]","[""blk4"",""blk3"",""blk2"",""blk1""]","[1,1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_69,1,2023-09-11_23h17.02.288,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
