key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,10.938,,0,0,0,0,1,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,"[[0.4125,-0.1325],[-0.285,-0.27125],[0.05875,-0.0575],[0.45375,0.175],[-0.45875,-0.3],[0.30125,-0.0175],[-0.24625,0.04375],[-0.3575,-0.05625],[0.22,0.2425]]",practice,"[-0.2733333333333333,0.42333333333333334,0.35888888888888887]","[-0.2588888888888889,-0.14777777777777779,-0.44666666666666666]","[1,1,1]","[0,0,0]","[0,0,0]","[3.0459999999999994,3.862000000000002,4.7280000000000015]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,"[[0.0675,0.07375],[-0.3575,-0.05625],[-0.285,-0.27125],[-0.01125,-0.295],[0.6375,0.27375],[0.25625,0.0975],[0.62875,-0.1825],[-0.26625,0.235],[0.4625,0.35875]]",practice,"[0.07222222222222222,-0.3488888888888889,-0.3988888888888889,0.051111111111111114,0.4011111111111111,0.39]","[0.058888888888888886,-0.04888888888888889,-0.06111111111111111,0.03888888888888889,-0.4922222222222222,-0.44]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.514000000000003,2.348000000000006,5.064,5.6640000000000015,6.348000000000006,7.031000000000006]","[""blk1"",""blk2"",""blk2"",""blk1""]","[0,0]",0,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,"[[0.25625,0.0975],[-0.16125,-0.28],[-0.6025,0.0725],[-0.01125,-0.295],[0.19375,-0.17125],[-0.55125,-0.13375],[0.16625,0.3825],[0.4125,-0.1325],[-0.3575,-0.05625]]",practice,"[-0.59,-0.16111111111111112,0.24222222222222223,0.44222222222222224]","[0.05444444444444444,-0.25222222222222224,0.10444444444444445,-0.4688888888888889]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.0150000000000006,1.7809999999999988,2.565000000000005,3.314]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,"[[0.28875,0.39875],[-0.18625,0.41125],[-0.26625,0.235],[0.6375,0.27375],[0.54,0.03625],[0.45375,0.175],[0.0675,0.07375],[0.1925,-0.295],[-0.485,0.34625]]",practice,"[-0.2733333333333333,-0.19444444444444445,0.25333333333333335,0.31,0.39]","[0.22666666666666666,0.39666666666666667,0.37666666666666665,-0.48333333333333334,-0.4533333333333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.381999999999998,1.8659999999999997,2.5989999999999966,3.4819999999999993,5.832000000000001]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,18.121,,0,0,0,0,1,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,"[[-0.675,0.29875],[0.4625,0.35875],[0.6375,0.27375],[-0.09875,0.065],[-0.01125,-0.295],[0.45375,0.175],[-0.4075,0.11875],[-0.26625,0.235],[-0.24625,0.04375]]",main,"[0.6333333333333333,0.4622222222222222,-0.64,0.31666666666666665,0.36333333333333334]","[0.27111111111111114,0.3622222222222222,0.31666666666666665,-0.41888888888888887,-0.4444444444444444]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.6149999999999949,2.4809999999999945,3.5649999999999977,4.4809999999999945,5.397999999999996]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,"[[-0.18625,0.41125],[0.6375,0.27375],[-0.16125,-0.28],[0.30125,-0.0175],[0.16625,0.3825],[-0.24625,0.04375],[-0.09875,0.065],[0.05875,-0.0575],[-0.675,0.29875]]",main,"[-0.16666666666666666,0.6411111111111111,-0.17444444444444446,0.4222222222222222]","[-0.28888888888888886,0.28444444444444444,0.3988888888888889,-0.45666666666666667]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.1979999999999933,2.048000000000002,2.865000000000009,3.7819999999999965]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,"[[0.30125,-0.0175],[0.4125,-0.1325],[-0.6025,0.0725],[-0.68625,-0.225],[-0.3575,-0.05625],[0.22,0.2425],[-0.4075,0.11875],[-0.35125,0.36625],[0.0675,0.07375]]",main,"[-0.7011111111111111,-0.6011111111111112,0.42333333333333334,0.3233333333333333,0.42444444444444446]","[-0.22111111111111112,0.08777777777777777,-0.12111111111111111,-0.02666666666666667,-0.4577777777777778]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6979999999999933,1.36399999999999,2.1310000000000002,2.597999999999999,3.36399999999999]","[""blk4"",""blk3"",""blk2"",""blk1""]","[1,1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_82,001,2023-09-16_09h21.40.302,reverse_corsi_task,2023.1.3,MacIntel,62.5,"[[-0.24625,0.04375],[-0.675,0.29875],[-0.35125,0.36625],[-0.01125,-0.295],[-0.0225,0.395],[0.25625,0.0975],[-0.285,-0.27125],[0.365,-0.27625],[0.45375,0.175]]",main,"[-0.008888888888888889,-0.3433333333333333,-0.6633333333333333,-0.22777777777777777,0.4022222222222222]","[-0.2966666666666667,0.3788888888888889,0.31444444444444447,0.05555555555555555,-0.45666666666666667]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6479999999999961,1.4320000000000022,2.0819999999999936,2.7819999999999965,3.5819999999999936]","[""blk4"",""blk3"",""blk2"",""blk1""]","[1,1,1,1]",1,0,0,0,0,1,,,,,,
