key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,14.0008,,0,0,0,0,1, L2SPAN_2023_12,001,2023-09-11_18h29.17.621,reverse_corsi_task,2023.1.3,Win32,60.6391365,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, L2SPAN_2023_12,001,2023-09-11_18h29.17.621,reverse_corsi_task,2023.1.3,Win32,60.6391365,"[[0.54,0.03625],[-0.6025,0.0725],[-0.12125,-0.12625],[-0.16125,-0.28],[0.30125,-0.0175],[-0.4075,0.11875],[0.28875,0.39875],[-0.35125,0.36625],[0.365,-0.27625]]",practice,"[-0.5814814744172273,0.5083334181043837,0.4342593440303096,0.42037045514142074]","[0.05648146735297309,0.04537034917760779,-0.42222220809371386,-0.4351851851851852]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[2.083999999999996,3.5817999999523167,4.698799999952314,6.381500000000003]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,, L2SPAN_2023_12,001,2023-09-11_18h29.17.621,reverse_corsi_task,2023.1.3,Win32,60.6391365,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,, L2SPAN_2023_12,001,2023-09-11_18h29.17.621,reverse_corsi_task,2023.1.3,Win32,60.6391365,"[[-0.09875,0.065],[-0.3575,-0.05625],[-0.35125,0.36625],[0.4125,-0.1325],[0.4625,0.35875],[-0.12125,-0.12625],[-0.45875,-0.3],[-0.285,-0.27125],[0.0675,0.07375]]",practice,"[-0.38796294177020035,-0.08611106872558594,0.4074074074074074]","[-0.08333333333333333,0.054629608436867046,-0.4361110969826027]","[1,1,1]","[0,0,0]","[0,0,0]","[2.3657999999523156,3.1997000000476845,4.148799999952317]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,, L2SPAN_2023_12,001,2023-09-11_18h29.17.621,reverse_corsi_task,2023.1.3,Win32,60.6391365,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,, L2SPAN_2023_12,001,2023-09-11_18h29.17.621,reverse_corsi_task,2023.1.3,Win32,60.6391365,"[[-0.09875,0.065],[0.25625,0.0975],[-0.16125,-0.28],[-0.01125,-0.295],[0.03125,-0.41],[-0.0225,0.395],[-0.12125,-0.12625],[-0.3575,-0.05625],[0.0675,0.07375]]",practice,"[-0.142592606721101,0.2916666666666667,-0.1212962821677879,0.46296296296296297,0.44907407407407407]","[-0.2629629770914714,0.10833334039758753,0.06203704410129123,-0.49537037037037035,-0.4657407689977575]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.9507000000476822,1.9147000000476808,2.848800000190735,3.6813000001907312,4.514300000190737]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,, L2SPAN_2023_12,001,2023-09-11_18h29.17.621,reverse_corsi_task,2023.1.3,Win32,60.6391365,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,, L2SPAN_2023_12,001,2023-09-11_18h29.17.621,reverse_corsi_task,2023.1.3,Win32,60.6391365,"[[0.19375,-0.17125],[0.05875,-0.0575],[0.22,0.2425],[0.45375,0.175],[-0.3575,-0.05625],[-0.26625,0.235],[-0.285,-0.27125],[0.16625,0.3825],[-0.675,0.29875]]",practice,"[0.20462961550112124,0.025000042385525174,0.24259263497811775,0.3953703421133536]","[0.22037036330611617,-0.07685184478759766,-0.19999998587149162,-0.4657407689977575]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.9316000001430496,2.7319999999999993,3.4694999999999965,4.281800000190728]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,, L2SPAN_2023_12,001,2023-09-11_18h29.17.621,reverse_corsi_task,2023.1.3,Win32,60.6391365,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,0.301,,0,0,0,0,1, L2SPAN_2023_12,001,2023-09-11_18h29.17.621,reverse_corsi_task,2023.1.3,Win32,60.6391365,,,,,,,,,,,,,,,,,,,,,,
