key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,18.052,,0,0,0,0,1,L2SPAN_2023_26,001,2023-09-14_15h56.25.361,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_26,001,2023-09-14_15h56.25.361,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[-0.01875,0.235],[-0.285,-0.27125],[0.6375,0.27375],[-0.4075,0.11875],[0.19375,-0.17125],[-0.16125,-0.28],[0.365,-0.27625],[0.03125,-0.41],[0.62875,-0.1825]]",practice,"[-0.2885714285714286,-0.039047619047619046,0.3619047619047619]","[-0.25523809523809526,0.23333333333333334,-0.4714285714285714]","[1,1,1]","[0,0,0]","[0,0,0]","[1.8969999999999985,2.7139999999999986,3.9970000000000034]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_26,001,2023-09-14_15h56.25.361,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_26,001,2023-09-14_15h56.25.361,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[0.0675,0.07375],[0.03125,-0.41],[-0.0225,0.395],[0.57875,-0.31375],[-0.16125,-0.28],[-0.3575,-0.05625],[-0.68625,-0.225],[0.28875,0.39875],[0.45375,0.175]]",practice,"[0.03238095238095238,0.07714285714285714,0.07714285714285714,0.3161904761904762,0.4247619047619048]","[-0.40476190476190477,0.12666666666666668,0.09142857142857143,-0.4114285714285714,-0.4438095238095238]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.4639999999999986,2.1799999999999926,2.7309999999999945,3.813999999999993,4.780999999999992]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_26,001,2023-09-14_15h56.25.361,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,L2SPAN_2023_26,001,2023-09-14_15h56.25.361,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[0.19375,-0.17125],[0.4125,-0.1325],[0.30125,-0.0175],[-0.675,0.29875],[0.28875,0.39875],[-0.4075,0.11875],[-0.285,-0.27125],[0.365,-0.27625],[-0.16125,-0.28]]",practice,"[0.2895238095238095,0.3942857142857143,0.2180952380952381,0.3657142857142857]","[-0.045714285714285714,-0.14952380952380953,-0.1619047619047619,-0.46476190476190476]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.664999999999992,1.2980000000000018,2.0319999999999965,2.864999999999995]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_26,001,2023-09-14_15h56.25.361,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_26,001,2023-09-14_15h56.25.361,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[0.6375,0.27375],[0.16625,0.3825],[0.30125,-0.0175],[-0.68625,-0.225],[0.45375,0.175],[-0.12125,-0.12625],[-0.18625,0.41125],[-0.6025,0.0725],[-0.26625,0.235]]",practice,"[0.2914285714285714,0.15904761904761905,0.15904761904761905,0.62,0.36095238095238097]","[0.0009523809523809524,0.32761904761904764,0.3495238095238095,0.2695238095238095,-0.46]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6650000000000063,1.8980000000000103,2.365000000000009,3.0320000000000107,4.332000000000008]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_26,001,2023-09-14_15h56.25.361,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,1.399,,0,0,0,0,1,L2SPAN_2023_26,001,2023-09-14_15h56.25.361,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
