key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,121.3188,0.0013,0,0,0,0,1,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,"[[-0.35125,0.36625],[-0.01125,-0.295],[-0.18625,0.41125],[-0.485,0.34625],[-0.6025,0.0725],[-0.285,-0.27125],[0.19375,-0.17125],[0.365,-0.27625],[-0.3575,-0.05625]]",practice,"[-0.35855263157894735,0.02631578947368421,0.3843201754385965]","[0.3684210526315789,-0.3130482456140351,-0.4413377192982456]","[1,1,1]","[0,0,0]","[0,0,0]","[2.415200000002983,3.7146000000014965,7.0837000000029775]","[""blk1"",""blk2""]","[0,0]",0,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,"[[-0.6025,0.0725],[-0.68625,-0.225],[-0.675,0.29875],[0.03125,-0.41],[0.365,-0.27625],[0.4625,0.35875],[0.28875,0.39875],[0.30125,-0.0175],[-0.4075,0.11875]]",practice,"[-0.6957236842105263,-0.5888157894736842,0.45230263157894735]","[-0.23410087719298245,0.07346491228070176,-0.45997807017543857]","[1,1,1]","[0,0,0]","[0,0,0]","[2.69960000000151,3.399799999997043,4.050200000003002]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,"[[-0.485,0.34625],[-0.68625,-0.225],[-0.16125,-0.28],[-0.675,0.29875],[-0.09875,0.065],[-0.6025,0.0725],[-0.55125,-0.13375],[0.45375,0.175],[-0.01125,-0.295]]",practice,"[-0.14692982456140352,-0.680921052631579,-0.46984649122807015,0.4725877192982456]","[-0.3048245614035088,-0.21600877192982457,0.32346491228070173,-0.4375]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.0149999999999864,1.5490999999940414,2.7334999999999923,3.7003999999984956]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,"[[-0.675,0.29875],[0.62875,-0.1825],[0.6375,0.27375],[0.45375,0.175],[-0.01125,-0.295],[-0.3575,-0.05625],[-0.485,0.34625],[-0.45875,-0.3],[-0.0225,0.395]]",practice,"[-0.65625,0.6398026315789473,0.6452850877192983,0.47423245614035087]","[0.2944078947368421,-0.17434210526315788,0.26973684210526316,-0.45614035087719296]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.1657999999970343,1.6325000000000216,2.0326999999955433,3.9003999999985126]","[""blk1"",""blk2"",""blk3""]","[0,1,0]",0,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,6.824,0.0004,0,0,0,0,1,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,"[[-0.26625,0.235],[-0.09875,0.065],[-0.485,0.34625],[0.30125,-0.0175],[-0.24625,0.04375],[-0.01875,0.235],[0.6375,0.27375],[-0.3575,-0.05625],[0.22,0.2425]]",main,"[-0.4786184210526316,-0.05646929824561404,-0.25164473684210525,0.4342105263157895]","[0.32785087719298245,0.046052631578947366,0.20723684210526316,-0.4380482456140351]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.2483999999985258,1.849000000000018,2.289299999997013,2.966299999997034]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,"[[0.30125,-0.0175],[0.54,0.03625],[-0.4075,0.11875],[-0.09875,0.065],[0.28875,0.39875],[0.19375,-0.17125],[-0.0225,0.395],[0.57875,-0.31375],[0.05875,-0.0575]]",main,"[-0.4144736842105263,0.5202850877192983,0.2713815789473684,0.4791666666666667]","[0.11019736842105263,0.008223684210526315,-0.03508771929824561,-0.4654605263157895]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.2719999999999914,1.705399999998491,2.01260000000147,2.589299999996996]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,"[[-0.675,0.29875],[-0.6025,0.0725],[0.03125,-0.41],[0.25625,0.0975],[0.0675,0.07375],[0.22,0.2425],[0.4125,-0.1325],[0.28875,0.39875],[0.19375,-0.17125]]",main,"[0.28399122807017546,0.05317982456140351,-0.5729166666666666,-0.6535087719298246,0.46655701754385964]","[0.11732456140350878,-0.39473684210526316,0.05975877192982456,0.2845394736842105,-0.44627192982456143]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.6405999999940377,2.0405999999940434,2.51589999999851,2.8161999999955185,4.141299999997017]","[""blk4"",""blk3"",""blk2"",""blk1""]","[1,1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_40,001,2023-09-13_17h52.28.229,reverse_corsi_task,2023.1.3,Win32,60.38282712,,,,,,,,,,,,,,,,,0,0,0,0,1,
