key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,9.936,,0,0,0,0,1,L2SPAN_2023_53,001,2023-09-11_17h31.15.149,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_53,001,2023-09-11_17h31.15.149,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[0.03125,-0.41],[0.6375,0.27375],[0.25625,0.0975],[-0.16125,-0.28],[0.28875,0.39875],[-0.09875,0.065],[0.0675,0.07375],[0.45375,0.175],[0.22,0.2425]]",practice,"[0.6695652173913044,0.01847826086956522,0.005434782608695652,0.3141304347826087,0.3467391304347826]","[0.2673913043478261,-0.35978260869565215,-0.3739130434782609,-0.4934782608695652,-0.45869565217391306]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8099999999999987,1.6419999999999995,2.242000000000001,2.942,3.474999999999998]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_53,001,2023-09-11_17h31.15.149,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_53,001,2023-09-11_17h31.15.149,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[0.6375,0.27375],[-0.0225,0.395],[0.03125,-0.41],[0.25625,0.0975],[-0.485,0.34625],[0.45375,0.175],[0.365,-0.27625],[0.62875,-0.1825],[0.4625,0.35875]]",practice,"[-0.029347826086956522,0.6010869565217392,0.38369565217391305]","[0.3826086956521739,0.27717391304347827,-0.4532608695652174]","[1,1,1]","[0,0,0]","[0,0,0]","[1.131999999999998,1.7149999999999999,2.6149999999999984]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_53,001,2023-09-11_17h31.15.149,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,L2SPAN_2023_53,001,2023-09-11_17h31.15.149,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[-0.09875,0.065],[0.45375,0.175],[-0.35125,0.36625],[0.4625,0.35875],[-0.18625,0.41125],[-0.45875,-0.3],[-0.3575,-0.05625],[0.05875,-0.0575],[0.62875,-0.1825]]",practice,"[-0.31521739130434784,0.4641304347826087,0.06739130434782609,-0.12608695652173912,0.3858695652173913]","[0.37717391304347825,0.15543478260869564,-0.003260869565217391,0.06521739130434782,-0.44782608695652176]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6149999999999949,1.2980000000000018,1.8649999999999949,2.548000000000002,3.298000000000002]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_53,001,2023-09-11_17h31.15.149,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_53,001,2023-09-11_17h31.15.149,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[-0.675,0.29875],[0.1925,-0.295],[-0.35125,0.36625],[-0.09875,0.065],[-0.485,0.34625],[0.365,-0.27625],[-0.01875,0.235],[-0.18625,0.41125],[0.25625,0.0975]]",practice,"[-0.35,0.17282608695652174,0.17282608695652174,-0.6869565217391305,0.41847826086956524,0.3576086956521739]","[0.3804347826086957,-0.21521739130434783,-0.29130434782608694,0.2891304347826087,-0.4771739130434783,-0.44130434782608696]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.5640000000000001,1.2129999999999939,1.5969999999999942,2.263999999999996,3.1459999999999937,4.012999999999998]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_53,001,2023-09-11_17h31.15.149,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,0.92,,0,0,0,0,1,L2SPAN_2023_53,001,2023-09-11_17h31.15.149,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
