key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,12.7825,,0,0,0,0,1,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.16125,-0.28],[-0.285,-0.27125],[0.28875,0.39875],[-0.01125,-0.295],[0.16625,0.3825],[-0.6025,0.0725],[0.30125,-0.0175],[0.1925,-0.295],[-0.675,0.29875]]",practice,"[-0.2410980902777778,-0.19289496527777777,0.35131944444444446]","[-0.28270399305555555,-0.28465711805555555,-0.4365581597222222]","[1,1,1]","[0,0,0]","[0,0,0]","[0.8015000000000043,1.1980000000000004,2.182000000000002]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.18625,0.41125],[-0.4075,0.11875],[0.0675,0.07375],[-0.26625,0.235],[-0.01125,-0.295],[0.19375,-0.17125],[0.03125,-0.41],[-0.675,0.29875],[0.22,0.2425]]",practice,"[-0.41522569444444446,-0.20173611111111112,0.3697092013888889]","[0.09082465277777778,0.4101519097222222,-0.44731336805555555]","[1,1,1]","[0,0,0]","[0,0,0]","[1.367799999952318,1.9504999999999981,3.0511999999284782]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[0.4625,0.35875],[-0.35125,0.36625],[0.54,0.03625],[-0.68625,-0.225],[0.45375,0.175],[-0.3575,-0.05625],[-0.01125,-0.295],[-0.6025,0.0725],[0.62875,-0.1825]]",practice,"[0.5351909722222222,-0.3435243055555556,-0.29269097222222223,-0.31721354166666665,0.45243489583333335,0.4059201388888889]","[0.032973090277777777,0.41893663194444447,0.3777951388888889,0.3777951388888889,0.35581163194444443,-0.4491840277777778]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.37920000004768895,0.9960000000000022,1.5647000000476865,1.9149999999999991,2.8668999999761624,3.699200000047682]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[0.62875,-0.1825],[-0.16125,-0.28],[-0.01875,0.235],[0.4125,-0.1325],[0.4625,0.35875],[-0.09875,0.065],[0.22,0.2425],[-0.26625,0.235],[-0.55125,-0.13375]]",practice,"[0.6745486111111111,-0.15064236111111112,0.015256076388888888,0.33024739583333335]","[-0.19465277777777779,-0.2723307291666667,0.2568229166666667,-0.4374782986111111]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.1473999999761588,2.032599999904633,2.597999999999999,3.3825999999046275]","[""blk1"",""blk2"",""blk3""]","[0,1,0]",0,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,7.071,,0,0,0,0,1,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.01875,0.235],[0.4125,-0.1325],[-0.6025,0.0725],[-0.35125,0.36625],[0.28875,0.39875],[0.54,0.03625],[0.1925,-0.295],[-0.285,-0.27125],[-0.4075,0.11875]]",main,"[-0.5738671875,0.4034418402777778,-0.01641059027777778,0.4219097222222222,0.4231901041666667,0.4270486111111111]","[0.051775173611111114,-0.15999131944444445,0.25145833333333334,-0.4015755208333333,-0.42020399305555556,-0.4492534722222222]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.75,1.4662000000476922,2.1642000000476855,3.065399999976165,3.6146000000238416,4.115899999976165]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_20,001,2023-09-07_13h31.03.089,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
