key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,12.079,,0,0,0,0,1,L2SPAN_2023_63,001,2023-09-14_14h00.41.329,reverse_corsi_task,2023.1.3,Win32,61.05006105,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_63,001,2023-09-14_14h00.41.329,reverse_corsi_task,2023.1.3,Win32,61.05006105,"[[-0.01875,0.235],[0.16625,0.3825],[0.4125,-0.1325],[-0.12125,-0.12625],[-0.24625,0.04375],[0.4625,0.35875],[-0.6025,0.0725],[0.365,-0.27625],[-0.68625,-0.225]]",practice,"[-0.02685182359483507,0.14259262084960939,0.3657407972547743]","[0.25277777777777777,0.3796296225653754,-0.4444444444444444]","[1,1,1]","[0,0,0]","[0,0,0]","[3.894799999952312,4.624799999952316,5.698199999928477]","[""blk1"",""blk2""]","[0,0]",0,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_63,001,2023-09-14_14h00.41.329,reverse_corsi_task,2023.1.3,Win32,61.05006105,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_63,001,2023-09-14_14h00.41.329,reverse_corsi_task,2023.1.3,Win32,61.05006105,"[[0.6375,0.27375],[-0.485,0.34625],[0.25625,0.0975],[0.4625,0.35875],[-0.26625,0.235],[-0.01875,0.235],[0.19375,-0.17125],[-0.0225,0.395],[-0.16125,-0.28]]",practice,"[-0.49166666666666664,0.6212963528103299,0.46851857503255206]","[0.3435185114542643,0.2638888888888889,-0.43148150973849825]","[1,1,1]","[0,0,0]","[0,0,0]","[1.0957999999523196,2.053699999928483,2.951399999976161]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_63,001,2023-09-14_14h00.41.329,reverse_corsi_task,2023.1.3,Win32,61.05006105,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,L2SPAN_2023_63,001,2023-09-14_14h00.41.329,reverse_corsi_task,2023.1.3,Win32,61.05006105,"[[-0.285,-0.27125],[0.4625,0.35875],[0.365,-0.27625],[-0.18625,0.41125],[-0.09875,0.065],[0.30125,-0.0175],[-0.68625,-0.225],[0.05875,-0.0575],[0.25625,0.0975]]",practice,"[-0.28425924513075085,0.4425926208496094,0.3685185750325521,0.40555555555555556,0.3277777777777778,0.4064815097384983]","[-0.2620370652940538,0.360185178120931,-0.24259262084960936,-0.24537039862738716,-0.2731481764051649,-0.425]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.5558000000715282,1.6641000000238364,2.8547000000476856,5.435300000071521,6.191700000047689,6.908400000095369]","[""blk1"",""blk2"",""blk3"",""blk3"",""blk3""]","[0,1,0]",0,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_63,001,2023-09-14_14h00.41.329,reverse_corsi_task,2023.1.3,Win32,61.05006105,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_63,001,2023-09-14_14h00.41.329,reverse_corsi_task,2023.1.3,Win32,61.05006105,"[[0.54,0.03625],[-0.55125,-0.13375],[0.45375,0.175],[-0.18625,0.41125],[0.57875,-0.31375],[-0.24625,0.04375],[0.30125,-0.0175],[0.03125,-0.41],[-0.01125,-0.295]]",practice,"[0.41296301947699654,-0.5666666666666667,0.507407463921441,0.5120370652940538,0.382407463921441,0.4027777777777778]","[0.16944444444444445,-0.1259259541829427,-0.017592620849609376,0,-0.41944444444444445,-0.46111111111111114]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.0562000000476957,1.9695000000000107,2.8021000000238416,3.3117000000476935,4.136100000023845,5.41030000007153]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_63,001,2023-09-14_14h00.41.329,reverse_corsi_task,2023.1.3,Win32,61.05006105,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,38.3541,,0,0,0,0,1,L2SPAN_2023_63,001,2023-09-14_14h00.41.329,reverse_corsi_task,2023.1.3,Win32,61.05006105,,,,,,,,,,,,,,,,,,,,,,
