key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,9.1205,,0,0,0,0,1,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.16125,-0.28],[-0.485,0.34625],[0.22,0.2425],[-0.0225,0.395],[0.25625,0.0975],[-0.01875,0.235],[0.6375,0.27375],[-0.55125,-0.13375],[0.30125,-0.0175]]",practice,"[-0.46337239583333334,-0.1849609375,0.4392447916666667,0.39438802083333335]","[0.33587239583333334,-0.23777777777777778,-0.48065104166666667,-0.46677083333333336]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[3.600400000005962,4.432099999994044,5.332599999994045,6.048099999994044]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.26625,0.235],[0.1925,-0.295],[0.4625,0.35875],[-0.3575,-0.05625],[0.0675,0.07375],[0.30125,-0.0175],[0.16625,0.3825],[-0.35125,0.36625],[-0.09875,0.065]]",practice,"[0.19907552083333332,-0.245546875,-0.24610243055555556,-0.24610243055555556,-0.23587239583333333,0.3613237847222222,0.3647873263888889]","[-0.3200173611111111,0.1750217013888889,0.17775607638888888,0.18337239583333334,0.18872395833333333,-0.41900607638888887,-0.4404166666666667]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[1.0526000000089368,1.7329000000059551,2.150500000000001,2.534900000005962,2.9317999999970183,3.7517999999970186,4.218600000008941]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[0.30125,-0.0175],[0.25625,0.0975],[0.28875,0.39875],[-0.16125,-0.28],[-0.12125,-0.12625],[0.62875,-0.1825],[0.0675,0.07375],[-0.675,0.29875],[-0.68625,-0.225]]",practice,"[0.29269965277777776,0.2772048611111111,0.29559461805555554,0.3525217013888889,0.3445703125]","[0.4001953125,0.0866015625,0.02568142361111111,-0.4966189236111111,-0.4617144097222222]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.6005999999940386,1.148799999997017,1.4827999999970203,2.217599999994043,2.6182999999970207]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.09875,0.065],[-0.45875,-0.3],[-0.675,0.29875],[-0.4075,0.11875],[-0.01125,-0.295],[-0.01875,0.235],[-0.68625,-0.225],[0.0675,0.07375],[-0.26625,0.235]]",practice,"[-0.6853255208333333,-0.44730902777777776,-0.11872395833333334,0.43733940972222224]","[0.32092447916666667,-0.28814236111111113,0.04803385416666667,-0.43331163194444444]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.5814999999999984,1.3622000000029786,2.098100000008941,3.512299999997019]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,1.1311,,0,0,0,0,1,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.16125,-0.28],[0.6375,0.27375],[-0.35125,0.36625],[0.03125,-0.41],[-0.45875,-0.3],[0.05875,-0.0575],[0.30125,-0.0175],[0.62875,-0.1825],[0.365,-0.27625]]",main,"[-0.33911458333333333,0.6281684027777777,-0.1402387152777778,0.4154904513888889]","[0.35645399305555553,0.2712630208333333,-0.2762630208333333,-0.45858072916666665]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.6662000000029806,1.7494999999999976,2.5165000000000077,3.283400000005969]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.45875,-0.3],[-0.12125,-0.12625],[-0.4075,0.11875],[-0.675,0.29875],[0.6375,0.27375],[-0.09875,0.065],[0.54,0.03625],[-0.35125,0.36625],[0.1925,-0.295]]",main,"[-0.41887152777777775,-0.13661024305555555,-0.43214409722222225,0.3491666666666667,0.3585546875]","[0.14592881944444444,-0.12228298611111112,-0.2535850694444444,-0.4138628472222222,-0.44796440972222223]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.5012999999970162,0.9657999999970173,1.882699999988077,2.7342999999970203,3.4008999999910543]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[0.19375,-0.17125],[-0.4075,0.11875],[0.25625,0.0975],[-0.26625,0.235],[0.6375,0.27375],[0.05875,-0.0575],[-0.0225,0.395],[-0.675,0.29875],[-0.55125,-0.13375]]",main,"[-0.2893706597222222,0.24160590277777777,-0.37845052083333336,0.1594140625,0.3365972222222222]","[0.25448350694444444,0.10292100694444445,0.11476128472222222,-0.12702690972222222,-0.4391449652777778]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.26600000000000534,0.8800000000000097,1.4625000000000057,1.9972000000029766,2.7660000000000053]","[""blk4"",""blk3"",""blk2"",""blk1""]","[1,1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_47,001,2023-09-14_08h17.09.696,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.18625,0.41125],[-0.0225,0.395],[0.54,0.03625],[-0.485,0.34625],[0.4125,-0.1325],[-0.6025,0.0725],[0.05875,-0.0575],[0.57875,-0.31375],[-0.16125,-0.28]]",main,"[-0.5146006944444445,0.4887109375,0.5137109375,-0.05868923611111111,-0.16176215277777778,0.40510416666666665]","[0.3721701388888889,0.051006944444444445,0.04938802083333333,0.4151302083333333,0.4145746527777778,-0.44042100694444447]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.0322000000029732,1.7812999999970174,2.2633999999910515,2.816200000002979,3.0649999999999977,3.9152999999970177]","[""blk4"",""blk3"",""blk2"",""blk1""]","[1,1,1,1]",1,0,0,0,0,1,,,,,,
