key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,17.6896,,0,0,0,0,1,L2SPAN_2023_30,001,2023-09-14_22h47.36.662,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_30,001,2023-09-14_22h47.36.662,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.55125,-0.13375],[-0.18625,0.41125],[-0.4075,0.11875],[-0.485,0.34625],[0.16625,0.3825],[0.4625,0.35875],[0.57875,-0.31375],[-0.26625,0.235],[-0.35125,0.36625]]",practice,"[-0.19793411236297198,-0.5350420599878197,0.3197272761875761]","[0.3795009896467722,-0.1162454323995128,-0.45945302984165654]","[1,1,1]","[0,0,0]","[0,0,0]","[2.696999999999999,3.782,4.983799999713899]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_30,001,2023-09-14_22h47.36.662,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_30,001,2023-09-14_22h47.36.662,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[-0.18625,0.41125],[0.45375,0.175],[0.4625,0.35875],[0.4125,-0.1325],[0.28875,0.39875],[0.16625,0.3825],[-0.45875,-0.3],[-0.6025,0.0725],[0.05875,-0.0575]]",practice,"[0.4454980587697929,-0.17236506546894031,0.3005005328867235]","[0.1630347898903776,0.4049939098660171,-0.4537244975639464]","[1,1,1]","[0,0,0]","[0,0,0]","[2.300700000286099,3.280999999999999,4.3308000001907345]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_30,001,2023-09-14_22h47.36.662,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,L2SPAN_2023_30,001,2023-09-14_22h47.36.662,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[0.4125,-0.1325],[0.22,0.2425],[0.4625,0.35875],[0.25625,0.0975],[0.54,0.03625],[-0.6025,0.0725],[0.28875,0.39875],[0.03125,-0.41],[-0.24625,0.04375]]",practice,"[0.43792345462850185,0.25488638093788063,0.40231044457978077,0.3745908191230207]","[0.3412425776492083,0.24459976400730815,-0.10397000609013399,-0.4649722137637028]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.1339000000953732,1.7154000000953715,2.550599999904634,3.7338000001907403]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_30,001,2023-09-14_22h47.36.662,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_30,001,2023-09-14_22h47.36.662,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,"[[0.25625,0.0975],[0.1925,-0.295],[0.03125,-0.41],[0.19375,-0.17125],[-0.12125,-0.12625],[-0.55125,-0.13375],[0.45375,0.175],[-0.45875,-0.3],[0.365,-0.27625]]",practice,"[0.06301861297198538,0.16437652253349574,0.21135619671132766,0.351724269183922]","[-0.37724573690621194,-0.289490712545676,0.09276511114494519,-0.45783533800243603]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.2298000001907354,1.664200000286101,2.262900000095371,3.2654000000953687]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_30,001,2023-09-14_22h47.36.662,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,2.0887,,0,0,0,0,1,L2SPAN_2023_30,001,2023-09-14_22h47.36.662,reverse_corsi_task,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
