key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,18.2804,,0,0,0,0,1,INC_J_ADV_07,001,2023-07-20_09h16.13.592,reverse_corsi_task,2023.1.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,INC_J_ADV_07,001,2023-07-20_09h16.13.592,reverse_corsi_task,2023.1.3,Win32,60.0132029,"[[-0.16125,-0.28],[-0.45875,-0.3],[0.30125,-0.0175],[0.16625,0.3825],[0.4125,-0.1325],[-0.55125,-0.13375],[-0.26625,0.235],[-0.01125,-0.295],[-0.675,0.29875]]",practice,"[-0.4635416666666667,-0.12630208333333334,0.5325520833333334]","[-0.2994791666666667,-0.2734375,-0.4466145833333333]","[1,1,1]","[0,0,0]","[0,0,0]","[1.7510999999940395,2.4640999999940405,4.186799999982121]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_ADV_07,001,2023-07-20_09h16.13.592,reverse_corsi_task,2023.1.3,Win32,60.0132029,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,INC_J_ADV_07,001,2023-07-20_09h16.13.592,reverse_corsi_task,2023.1.3,Win32,60.0132029,"[[-0.485,0.34625],[-0.12125,-0.12625],[-0.55125,-0.13375],[0.54,0.03625],[-0.0225,0.395],[-0.16125,-0.28],[0.57875,-0.31375],[0.25625,0.0975],[-0.01875,0.235]]",practice,"[-0.16796875,-0.4921875,0.4856770833333333]","[-0.125,0.3125,-0.4479166666666667]","[1,1,1]","[0,0,0]","[0,0,0]","[1.5668000000119235,2.7111999999880823,4.049699999988086]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_ADV_07,001,2023-07-20_09h16.13.592,reverse_corsi_task,2023.1.3,Win32,60.0132029,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,INC_J_ADV_07,001,2023-07-20_09h16.13.592,reverse_corsi_task,2023.1.3,Win32,60.0132029,"[[-0.675,0.29875],[-0.285,-0.27125],[0.03125,-0.41],[-0.6025,0.0725],[-0.35125,0.36625],[0.16625,0.3825],[-0.485,0.34625],[0.19375,-0.17125],[0.25625,0.0975]]",practice,"[0.005208333333333333,-0.2578125,-0.6796875,0.4895833333333333]","[-0.3893229166666667,-0.2942708333333333,0.33984375,-0.453125]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.2004000000059563,2.128100000023835,3.266900000005961,4.8987000000178895]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_ADV_07,001,2023-07-20_09h16.13.592,reverse_corsi_task,2023.1.3,Win32,60.0132029,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,INC_J_ADV_07,001,2023-07-20_09h16.13.592,reverse_corsi_task,2023.1.3,Win32,60.0132029,"[[-0.09875,0.065],[-0.01125,-0.295],[0.62875,-0.1825],[-0.4075,0.11875],[-0.6025,0.0725],[0.28875,0.39875],[-0.26625,0.235],[-0.55125,-0.13375],[-0.485,0.34625]]",practice,"[0.6484375,-0.01953125,-0.10286458333333333,0.4817708333333333]","[-0.16145833333333334,-0.2955729166666667,0.1015625,-0.4479166666666667]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[2.948799999982114,3.8203999999761464,4.820699999988079,5.870299999982109]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_ADV_07,001,2023-07-20_09h16.13.592,reverse_corsi_task,2023.1.3,Win32,60.0132029,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,5.6122,,0,0,0,0,1,INC_J_ADV_07,001,2023-07-20_09h16.13.592,reverse_corsi_task,2023.1.3,Win32,60.0132029,,,,,,,,,,,,,,,,,,,,,,
