"","Experiment","spatial_verb","key_resp_6.corr","participant","key_resp_6.rt","log_rt","group","final_corsi_span","vmn_score","vmn_z","corsi_z"
"1","visuospatial","no","1","L2SPAN_2023_02","0.8658",-0.144101343974257,"L2 learners","6",11,0.596867015635174,0.490984704515391
"2","visuospatial","yes","1","L2SPAN_2023_02","0.6091",-0.495772821139698,"L2 learners","6",11,0.596867015635174,0.490984704515391
"3","visuospatial","yes","1","L2SPAN_2023_02","0.3762",-0.977634362115207,"L2 learners","6",11,0.596867015635174,0.490984704515391
"4","visuospatial","no","0","L2SPAN_2023_02","0.7498",-0.287948774680325,"L2 learners","6",11,0.596867015635174,0.490984704515391
"5","visuospatial","no","0","L2SPAN_2023_02","1.101",0.0962188577405429,"L2 learners","6",11,0.596867015635174,0.490984704515391
"6","visuospatial","yes","1","L2SPAN_2023_02","1.6837",0.520993752681617,"L2 learners","6",11,0.596867015635174,0.490984704515391
"7","visuospatial","yes","1","L2SPAN_2023_02","0.7174",-0.332121713883955,"L2 learners","6",11,0.596867015635174,0.490984704515391
"8","visuospatial","no","1","L2SPAN_2023_02","0.7437",-0.296117551272883,"L2 learners","6",11,0.596867015635174,0.490984704515391
"9","visuospatial","no","0","L2SPAN_2023_02","0.2929",-1.22792402514845,"L2 learners","6",11,0.596867015635174,0.490984704515391
"10","visuospatial","no","1","L2SPAN_2023_02","0.6084",-0.496922718596999,"L2 learners","6",11,0.596867015635174,0.490984704515391
"11","visuospatial","yes","1","L2SPAN_2023_02","0.7171",-0.332539978093608,"L2 learners","6",11,0.596867015635174,0.490984704515391
"12","visuospatial","yes","1","L2SPAN_2023_02","1.0675",0.0653194661206425,"L2 learners","6",11,0.596867015635174,0.490984704515391
"13","visuospatial","no","1","L2SPAN_2023_02","0.7746",-0.255408511901485,"L2 learners","6",11,0.596867015635174,0.490984704515391
"14","visuospatial","no","1","L2SPAN_2023_02","1.059",0.0573250666192694,"L2 learners","6",11,0.596867015635174,0.490984704515391
"15","visuospatial","yes","0","L2SPAN_2023_02","1.2015",0.183570776194387,"L2 learners","6",11,0.596867015635174,0.490984704515391
"16","visuospatial","yes","0","L2SPAN_2023_02","0.5531",-0.592216461981505,"L2 learners","6",11,0.596867015635174,0.490984704515391
"17","visuospatial","yes","0","L2SPAN_2023_02","0.7977",-0.226022692065053,"L2 learners","6",11,0.596867015635174,0.490984704515391
"18","visuospatial","no","0","L2SPAN_2023_02","1.048",0.0468835858988505,"L2 learners","6",11,0.596867015635174,0.490984704515391
"19","visuospatial","no","1","L2SPAN_2023_02","0.9417",-0.0600685264661195,"L2 learners","6",11,0.596867015635174,0.490984704515391
"20","visuospatial","no","1","L2SPAN_2023_02","0.418",-0.872273846457381,"L2 learners","6",11,0.596867015635174,0.490984704515391
"21","visuospatial","yes","0","L2SPAN_2023_02","1.2499",0.223063548114039,"L2 learners","6",11,0.596867015635174,0.490984704515391
"22","visuospatial","yes","0","L2SPAN_2023_02","0.9425",-0.0592193596599712,"L2 learners","6",11,0.596867015635174,0.490984704515391
"23","visuospatial","yes","1","L2SPAN_2023_02","0.7987",-0.224769873058794,"L2 learners","6",11,0.596867015635174,0.490984704515391
"24","visuospatial","no","0","L2SPAN_2023_02","0.468",-0.75928698306449,"L2 learners","6",11,0.596867015635174,0.490984704515391
"25","visuospatial","yes","0","L2SPAN_2023_04","2.5603",0.940124439125552,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"26","visuospatial","no","1","L2SPAN_2023_04","1.0984",0.0938545754716243,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"27","visuospatial","yes","1","L2SPAN_2023_04","1.119",0.112435429329788,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"28","visuospatial","yes","1","L2SPAN_2023_04","0.9359",-0.0662466458189263,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"29","visuospatial","no","1","L2SPAN_2023_04","0.8506",-0.161813296162604,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"30","visuospatial","yes","1","L2SPAN_2023_04","1.1748",0.161097920342328,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"31","visuospatial","yes","1","L2SPAN_2023_04","1.9534",0.66957144403124,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"32","visuospatial","no","1","L2SPAN_2023_04","1.0733",0.0707380145053416,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"33","visuospatial","yes","1","L2SPAN_2023_04","1.6998",0.530510597082389,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"34","visuospatial","yes","1","L2SPAN_2023_04","1.6597",0.506636863144536,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"35","visuospatial","yes","1","L2SPAN_2023_04","0.7874",-0.2390189004725,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"36","visuospatial","no","1","L2SPAN_2023_04","1.927",0.655964389432229,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"37","visuospatial","no","1","L2SPAN_2023_04","1.1462",0.1364521231355,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"38","visuospatial","no","1","L2SPAN_2023_04","0.9743",-0.0260360145508414,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"39","visuospatial","no","1","L2SPAN_2023_04","1.203",0.184818436992542,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"40","visuospatial","no","1","L2SPAN_2023_04","1.3681",0.313422915943931,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"41","visuospatial","yes","1","L2SPAN_2023_04","1.4377",0.36304461444641,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"42","visuospatial","no","0","L2SPAN_2023_04","1.2624",0.233014671109473,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"43","visuospatial","yes","0","L2SPAN_2023_04","0.8174",-0.20162670785196,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"44","visuospatial","no","1","L2SPAN_2023_04","1.2222",0.200652513478678,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"45","visuospatial","no","0","L2SPAN_2023_04","0.6426",-0.442232832300379,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"46","visuospatial","no","1","L2SPAN_2023_04","1.3598",0.307337630110222,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"47","visuospatial","yes","1","L2SPAN_2023_04","0.8711",-0.137998498157291,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"48","visuospatial","yes","0","L2SPAN_2023_04","1.0915",0.0875528970078615,"L2 learners","8",6,-0.513583246011661,2.01145346688564
"49","visuospatial","no","1","L2SPAN_2023_05","1.3542",0.303210874069408,"L2 learners","7",16,1.70731727728201,1.25121908570051
"50","visuospatial","yes","1","L2SPAN_2023_05","1.9501",0.667880653312058,"L2 learners","7",16,1.70731727728201,1.25121908570051
"51","visuospatial","yes","1","L2SPAN_2023_05","1.502",0.406797553341943,"L2 learners","7",16,1.70731727728201,1.25121908570051
"52","visuospatial","yes","1","L2SPAN_2023_05","1.4361",0.361931106084436,"L2 learners","7",16,1.70731727728201,1.25121908570051
"53","visuospatial","no","1","L2SPAN_2023_05","0.9863",-0.0137947110221893,"L2 learners","7",16,1.70731727728201,1.25121908570051
"54","visuospatial","no","1","L2SPAN_2023_05","1.2866",0.252003079994763,"L2 learners","7",16,1.70731727728201,1.25121908570051
"55","visuospatial","no","1","L2SPAN_2023_05","1.0539",0.052497568957754,"L2 learners","7",16,1.70731727728201,1.25121908570051
"56","visuospatial","yes","1","L2SPAN_2023_05","0.9609",-0.0398849336989149,"L2 learners","7",16,1.70731727728201,1.25121908570051
"57","visuospatial","no","1","L2SPAN_2023_05","1.1912",0.174961202387662,"L2 learners","7",16,1.70731727728201,1.25121908570051
"58","visuospatial","no","1","L2SPAN_2023_05","1.0862",0.0826853666186079,"L2 learners","7",16,1.70731727728201,1.25121908570051
"59","visuospatial","no","1","L2SPAN_2023_05","1.4887",0.397903255900874,"L2 learners","7",16,1.70731727728201,1.25121908570051
