"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"html-keyboard-response","61","201771","0.0-48.0-13.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","0,4,3,5,7,4,2,4,2,8,6,3,9","","","9",""
"survey-html-form-autofocus","62","207622","0.0-48.0-14.0","L2SPAN_2023_41","PRE","","5185","{""recall"":""39""}","recall","","","0435742428639","39","39","","true"
"html-keyboard-response","63","209084","0.0-48.0-15.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","64","210869","0.0-48.0-16.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","9,0,3,2,8","","","9",""
"html-keyboard-response","65","212656","0.0-48.0-17.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","9,0,3,2,8","","","0",""
"html-keyboard-response","66","214443","0.0-48.0-18.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","9,0,3,2,8","","","3",""
"html-keyboard-response","67","216229","0.0-48.0-19.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","9,0,3,2,8","","","2",""
"html-keyboard-response","68","218017","0.0-48.0-20.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","9,0,3,2,8","","","8",""
"survey-html-form-autofocus","69","221482","0.0-48.0-21.0","L2SPAN_2023_41","PRE","","2799.999999999971","{""recall"":""28""}","recall","","","90328","28","28","","true"
"html-keyboard-response","70","222944","0.0-48.0-22.0-0.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","71","224730","0.0-48.0-22.0-1.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","6,8,2,0,9,6,3,7","","","6",""
"html-keyboard-response","72","226518","0.0-48.0-22.0-2.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","6,8,2,0,9,6,3,7","","","8",""
"html-keyboard-response","73","228305","0.0-48.0-22.0-3.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","6,8,2,0,9,6,3,7","","","2",""
"html-keyboard-response","74","230093","0.0-48.0-22.0-4.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","6,8,2,0,9,6,3,7","","","0",""
"html-keyboard-response","75","231879","0.0-48.0-22.0-5.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","6,8,2,0,9,6,3,7","","","9",""
"html-keyboard-response","76","233666","0.0-48.0-22.0-6.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","6,8,2,0,9,6,3,7","","","6",""
"html-keyboard-response","77","235452","0.0-48.0-22.0-7.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","6,8,2,0,9,6,3,7","","","3",""
"html-keyboard-response","78","237239","0.0-48.0-22.0-8.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","6,8,2,0,9,6,3,7","","","7",""
