"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"pavlovia","0","5","0.0-0.0","L2SPAN_2023_30","PRE","","","","","","","","","","",""
"fullscreen","1","5859","0.0-1.0","L2SPAN_2023_30","PRE","true","","","","","","","","","",""
"survey-html-form","2","11774","0.0-2.0","L2SPAN_2023_30","PRE","","5240.699999809265","{""userID"":""L2SPAN_2023_30"",""type"":""PRE""}","userID","","","","","","",""
"html-keyboard-response","3","23589","0.0-3.0","L2SPAN_2023_30","PRE","","11143.400000095367","","","<p>Welcome to this task.</p>			<p>You will see a set of numbers, presented one at a time.<br/>			You need to pay attention to the numbers in the list and their order.<br/>			The list will end abruptly at any time. You will be told to enter the LAST X number of digits.</p>			<p>[Press SPACE to practice]</p>","32","","","","",""
"html-keyboard-response","4","24419","0.0-4.0","L2SPAN_2023_30","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","5","26222","0.0-5.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","9,8,3","","","",""
"html-keyboard-response","6","28026","0.0-6.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","9,8,3","","","",""
"html-keyboard-response","7","29831","0.0-7.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","9,8,3","","","",""
"survey-html-form-autofocus","8","34819","0.0-8.0","L2SPAN_2023_30","PRE","","4316.599999904633","{""recall"":""83""}","practice recall","","","983","","83","",""
"html-keyboard-response","9","37193","0.0-9.0","L2SPAN_2023_30","PRE","","1703.9000000953674","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","10","38015","0.0-10.0","L2SPAN_2023_30","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","11","39814","0.0-11.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","12","41619","0.0-12.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","13","43424","0.0-13.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","14","45225","0.0-14.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","15","47034","0.0-15.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","4,8,2,1,9","","","",""
"survey-html-form-autofocus","16","53352","0.0-16.0","L2SPAN_2023_30","PRE","","5642.60000038147","{""recall"":""219""}","practice recall","","","48219","","219","",""
"html-keyboard-response","17","55064","0.0-17.0","L2SPAN_2023_30","PRE","","1047.2000002861023","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","18","55886","0.0-18.0","L2SPAN_2023_30","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","19","57691","0.0-19.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">5</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","20","59498","0.0-20.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">7</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","21","61292","0.0-21.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","22","63090","0.0-22.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","23","64895","0.0-23.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","24","66690","0.0-24.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","25","68490","0.0-25.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","26","70298","0.0-26.0","L2SPAN_2023_30","PRE","","null","","practice display digit","<div class=""stimulus"">6</div>","null","5,7,1,9,4,2,3,6","","","",""
"survey-html-form-autofocus","27","77166","0.0-27.0","L2SPAN_2023_30","PRE","","6192.300000190735","{""recall"":""4236""}","practice recall","","","57194236","","4236","",""
"html-keyboard-response","28","78917","0.0-28.0","L2SPAN_2023_30","PRE","","1082.1999998092651","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","29","85195","0.0-29.0","L2SPAN_2023_30","PRE","","6264","","","<p>That was the practice section.<br/>			<p>Now goes the official part of the task.<br/>			You won't be given any feedback on your performance.</p>			<p>R U ready?</p>			<p>[Press Y to begin]</p>","89","","","","",""
"html-keyboard-response","30","86674","0.0-30.0","L2SPAN_2023_30","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","31","88474","0.0-31.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","8,5,0,1,2,0,4,5,8,9","","","8",""
"html-keyboard-response","32","90281","0.0-32.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","8,5,0,1,2,0,4,5,8,9","","","5",""
"html-keyboard-response","33","92090","0.0-33.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","8,5,0,1,2,0,4,5,8,9","","","0",""
"html-keyboard-response","34","93897","0.0-34.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","8,5,0,1,2,0,4,5,8,9","","","1",""
"html-keyboard-response","35","95694","0.0-35.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","8,5,0,1,2,0,4,5,8,9","","","2",""
"html-keyboard-response","36","97498","0.0-36.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","8,5,0,1,2,0,4,5,8,9","","","0",""
"html-keyboard-response","37","99305","0.0-37.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","8,5,0,1,2,0,4,5,8,9","","","4",""
"html-keyboard-response","38","101113","0.0-38.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","8,5,0,1,2,0,4,5,8,9","","","5",""
"html-keyboard-response","39","102918","0.0-39.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","8,5,0,1,2,0,4,5,8,9","","","8",""
"html-keyboard-response","40","104722","0.0-40.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","8,5,0,1,2,0,4,5,8,9","","","9",""
"survey-html-form-autofocus","41","109070","0.0-41.0","L2SPAN_2023_30","PRE","","3673.699999809265","{""recall"":""9""}","recall","","","8501204589","9","9","","true"
"html-keyboard-response","42","110544","0.0-42.0","L2SPAN_2023_30","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","43","112353","0.0-43.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","7,8,6,1,0,3,6","","","7",""
"html-keyboard-response","44","114161","0.0-44.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","7,8,6,1,0,3,6","","","8",""
"html-keyboard-response","45","115966","0.0-45.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","7,8,6,1,0,3,6","","","6",""
"html-keyboard-response","46","117769","0.0-46.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","7,8,6,1,0,3,6","","","1",""
"html-keyboard-response","47","119573","0.0-47.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","7,8,6,1,0,3,6","","","0",""
"html-keyboard-response","48","121373","0.0-48.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","7,8,6,1,0,3,6","","","3",""
"html-keyboard-response","49","123177","0.0-49.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","7,8,6,1,0,3,6","","","6",""
"survey-html-form-autofocus","50","126403","0.0-50.0","L2SPAN_2023_30","PRE","","2552.199999809265","{""recall"":""6""}","recall","","","7861036","6","6","","true"
"html-keyboard-response","51","127881","0.0-51.0-0.0","L2SPAN_2023_30","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","52","129689","0.0-51.0-1.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","4,1,6,7","","","4",""
"html-keyboard-response","53","131489","0.0-51.0-2.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","4,1,6,7","","","1",""
"html-keyboard-response","54","133297","0.0-51.0-3.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","4,1,6,7","","","6",""
"html-keyboard-response","55","135105","0.0-51.0-4.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","4,1,6,7","","","7",""
"survey-html-form-autofocus","56","138457","0.0-51.0-5.0","L2SPAN_2023_30","PRE","","2679.6000003814697","{""recall"":""67""}","recall","","","4167","67","67","","true"
"html-keyboard-response","57","139937","0.0-51.0-6.0","L2SPAN_2023_30","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","58","141744","0.0-51.0-7.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","7,9,5,4,3,0,4,8,6,0","","","7",""
"html-keyboard-response","59","143553","0.0-51.0-8.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","7,9,5,4,3,0,4,8,6,0","","","9",""
"html-keyboard-response","60","145353","0.0-51.0-9.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","7,9,5,4,3,0,4,8,6,0","","","5",""
"html-keyboard-response","61","147161","0.0-51.0-10.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","7,9,5,4,3,0,4,8,6,0","","","4",""
"html-keyboard-response","62","148969","0.0-51.0-11.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","7,9,5,4,3,0,4,8,6,0","","","3",""
"html-keyboard-response","63","150773","0.0-51.0-12.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","7,9,5,4,3,0,4,8,6,0","","","0",""
"html-keyboard-response","64","152575","0.0-51.0-13.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","7,9,5,4,3,0,4,8,6,0","","","4",""
"html-keyboard-response","65","154384","0.0-51.0-14.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","7,9,5,4,3,0,4,8,6,0","","","8",""
"html-keyboard-response","66","156188","0.0-51.0-15.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","7,9,5,4,3,0,4,8,6,0","","","6",""
"html-keyboard-response","67","157991","0.0-51.0-16.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","7,9,5,4,3,0,4,8,6,0","","","0",""
"survey-html-form-autofocus","68","163020","0.0-51.0-17.0","L2SPAN_2023_30","PRE","","4351.300000190735","{""recall"":""60""}","recall","","","7954304860","60","60","","true"
"html-keyboard-response","69","164493","0.0-51.0-18.0-0.0","L2SPAN_2023_30","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","70","166296","0.0-51.0-18.0-1.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","8,7,8,4","","","8",""
"html-keyboard-response","71","168104","0.0-51.0-18.0-2.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","8,7,8,4","","","7",""
"html-keyboard-response","72","169911","0.0-51.0-18.0-3.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","8,7,8,4","","","8",""
"html-keyboard-response","73","171721","0.0-51.0-18.0-4.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","8,7,8,4","","","4",""
"survey-html-form-autofocus","74","176805","0.0-51.0-18.0-5.0","L2SPAN_2023_30","PRE","","4411.300000190735","{""recall"":""784""}","recall","","","8784","784","784","","true"
"html-keyboard-response","75","178280","0.0-51.0-18.0-6.0","L2SPAN_2023_30","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","76","180088","0.0-51.0-18.0-7.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","5,4,1,9,4,9,1,5,9,7,4","","","5",""
"html-keyboard-response","77","181896","0.0-51.0-18.0-8.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","5,4,1,9,4,9,1,5,9,7,4","","","4",""
"html-keyboard-response","78","183704","0.0-51.0-18.0-9.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","5,4,1,9,4,9,1,5,9,7,4","","","1",""
"html-keyboard-response","79","185511","0.0-51.0-18.0-10.0","L2SPAN_2023_30","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","5,4,1,9,4,9,1,5,9,7,4","","","9",""
