"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"pavlovia","0","7","0.0-0.0","L2SPAN_2023_02","PRE","","","","","","","","","","",""
"fullscreen","1","5044","0.0-1.0","L2SPAN_2023_02","PRE","true","","","","","","","","","",""
"survey-html-form","2","10484","0.0-2.0","L2SPAN_2023_02","PRE","","4774.699999988079","{""userID"":""L2SPAN_2023_02"",""type"":""PRE""}","userID","","","","","","",""
"html-keyboard-response","3","20606","0.0-3.0","L2SPAN_2023_02","PRE","","9453.699999988079","","","<p>Welcome to this task.</p>			<p>You will see a set of numbers, presented one at a time.<br/>			You need to pay attention to the numbers in the list and their order.<br/>			The list will end abruptly at any time. You will be told to enter the LAST X number of digits.</p>			<p>[Press SPACE to practice]</p>","32","","","","",""
"html-keyboard-response","4","21426","0.0-4.0","L2SPAN_2023_02","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","5","23221","0.0-5.0","L2SPAN_2023_02","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","9,8,3","","","",""
"html-keyboard-response","6","25019","0.0-6.0","L2SPAN_2023_02","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","9,8,3","","","",""
"html-keyboard-response","7","26822","0.0-7.0","L2SPAN_2023_02","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","9,8,3","","","",""
"survey-html-form-autofocus","8","38049","0.0-8.0","L2SPAN_2023_02","PRE","","10550.600000023842","{""recall"":""83""}","practice recall","","","983","","83","",""
"html-keyboard-response","9","39709","0.0-9.0","L2SPAN_2023_02","PRE","","988.8999999761581","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","10","40534","0.0-10.0","L2SPAN_2023_02","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","11","42338","0.0-11.0","L2SPAN_2023_02","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","12","44143","0.0-12.0","L2SPAN_2023_02","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","13","45948","0.0-13.0","L2SPAN_2023_02","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","14","47743","0.0-14.0","L2SPAN_2023_02","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","15","49550","0.0-15.0","L2SPAN_2023_02","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","4,8,2,1,9","","","",""
"survey-html-form-autofocus","16","52869","0.0-16.0","L2SPAN_2023_02","PRE","","2648.300000011921","{""recall"":""219""}","practice recall","","","48219","","219","",""
"html-keyboard-response","17","55014","0.0-17.0","L2SPAN_2023_02","PRE","","1471.5999999642372","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","18","55839","0.0-18.0","L2SPAN_2023_02","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
