"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"pavlovia","0","15","0.0-0.0","L2SPAN_2023_63","PRE","","","","","","","","","","",""
"fullscreen","1","3292","0.0-1.0","L2SPAN_2023_63","PRE","true","","","","","","","","","",""
"survey-html-form","2","29324","0.0-2.0","L2SPAN_2023_63","PRE","","25357.100000023842","{""userID"":""L2SPAN_2023_63"",""type"":""PRE""}","userID","","","","","","",""
"html-keyboard-response","3","38662","0.0-3.0","L2SPAN_2023_63","PRE","","8673.899999976158","","","<p>Welcome to this task.</p>			<p>You will see a set of numbers, presented one at a time.<br/>			You need to pay attention to the numbers in the list and their order.<br/>			The list will end abruptly at any time. You will be told to enter the LAST X number of digits.</p>			<p>[Press SPACE to practice]</p>","32","","","","",""
"html-keyboard-response","4","39482","0.0-4.0","L2SPAN_2023_63","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","5","41282","0.0-5.0","L2SPAN_2023_63","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","9,8,3","","","",""
"html-keyboard-response","6","43085","0.0-6.0","L2SPAN_2023_63","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","9,8,3","","","",""
"html-keyboard-response","7","44886","0.0-7.0","L2SPAN_2023_63","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","9,8,3","","","",""
"survey-html-form-autofocus","8","60786","0.0-8.0","L2SPAN_2023_63","PRE","","15227.100000023842","{""recall"":""83""}","practice recall","","","983","","83","",""
"html-keyboard-response","9","62928","0.0-9.0","L2SPAN_2023_63","PRE","","1478.7999999523163","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","10","63755","0.0-10.0","L2SPAN_2023_63","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","11","65567","0.0-11.0","L2SPAN_2023_63","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","12","67368","0.0-12.0","L2SPAN_2023_63","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","13","69167","0.0-13.0","L2SPAN_2023_63","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","14","70967","0.0-14.0","L2SPAN_2023_63","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","15","72780","0.0-15.0","L2SPAN_2023_63","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","4,8,2,1,9","","","",""
"survey-html-form-autofocus","16","80072","0.0-16.0","L2SPAN_2023_63","PRE","","6620.600000023842","{""recall"":""219""}","practice recall","","","48219","","219","",""
"html-keyboard-response","17","81604","0.0-17.0","L2SPAN_2023_63","PRE","","854.4000000953674","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","18","82428","0.0-18.0","L2SPAN_2023_63","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","19","84230","0.0-19.0","L2SPAN_2023_63","PRE","","null","","practice display digit","<div class=""stimulus"">5</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","20","86028","0.0-20.0","L2SPAN_2023_63","PRE","","null","","practice display digit","<div class=""stimulus"">7</div>","null","5,7,1,9,4,2,3,6","","","",""
