"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"pavlovia","0","4","0.0-0.0","L2SPAN_2023_25","PRE","","","","","","","","","","",""
"fullscreen","1","2001622","0.0-1.0","L2SPAN_2023_25","PRE","true","","","","","","","","","",""
"survey-html-form","2","2011234","0.0-2.0","L2SPAN_2023_25","PRE","","8937.899999856949","{""userID"":""L2SPAN_2023_25"",""type"":""PRE""}","userID","","","","","","",""
"html-keyboard-response","3","2021084","0.0-3.0","L2SPAN_2023_25","PRE","","9184","","","<p>Welcome to this task.</p>			<p>You will see a set of numbers, presented one at a time.<br/>			You need to pay attention to the numbers in the list and their order.<br/>			The list will end abruptly at any time. You will be told to enter the LAST X number of digits.</p>			<p>[Press SPACE to practice]</p>","32","","","","",""
"html-keyboard-response","4","2021900","0.0-4.0","L2SPAN_2023_25","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","5","2023691","0.0-5.0","L2SPAN_2023_25","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","9,8,3","","","",""
"html-keyboard-response","6","2025494","0.0-6.0","L2SPAN_2023_25","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","9,8,3","","","",""
"html-keyboard-response","7","2027286","0.0-7.0","L2SPAN_2023_25","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","9,8,3","","","",""
"survey-html-form-autofocus","8","2030966","0.0-8.0","L2SPAN_2023_25","PRE","","3001.0999999046326","{""recall"":""83""}","practice recall","","","983","","83","",""
"html-keyboard-response","9","2033012","0.0-9.0","L2SPAN_2023_25","PRE","","1373","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","10","2033827","0.0-10.0","L2SPAN_2023_25","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","11","2035619","0.0-11.0","L2SPAN_2023_25","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","12","2037410","0.0-12.0","L2SPAN_2023_25","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","13","2039204","0.0-13.0","L2SPAN_2023_25","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","14","2040995","0.0-14.0","L2SPAN_2023_25","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","15","2042791","0.0-15.0","L2SPAN_2023_25","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","4,8,2,1,9","","","",""
"survey-html-form-autofocus","16","2049483","0.0-16.0","L2SPAN_2023_25","PRE","","6018.799999952316","{""recall"":""219""}","practice recall","","","48219","","219","",""
"html-keyboard-response","17","2050757","0.0-17.0","L2SPAN_2023_25","PRE","","607.3999998569489","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","18","2051572","0.0-18.0","L2SPAN_2023_25","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
