"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"pavlovia","0","3","0.0-0.0","L2SPAN_2023_46","PRE","","","","","","","","","","",""
"fullscreen","1","6418","0.0-1.0","L2SPAN_2023_46","PRE","true","","","","","","","","","",""
"survey-html-form","2","11647","0.0-2.0","L2SPAN_2023_46","PRE","","4560.100000023842","{""userID"":""L2SPAN_2023_46"",""type"":""PRE""}","userID","","","","","","",""
"html-keyboard-response","3","19741","0.0-3.0","L2SPAN_2023_46","PRE","","7427.300000071526","","","<p>Welcome to this task.</p>			<p>You will see a set of numbers, presented one at a time.<br/>			You need to pay attention to the numbers in the list and their order.<br/>			The list will end abruptly at any time. You will be told to enter the LAST X number of digits.</p>			<p>[Press SPACE to practice]</p>","32","","","","",""
"html-keyboard-response","4","20571","0.0-4.0","L2SPAN_2023_46","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","5","22377","0.0-5.0","L2SPAN_2023_46","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","9,8,3","","","",""
"html-keyboard-response","6","24180","0.0-6.0","L2SPAN_2023_46","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","9,8,3","","","",""
"html-keyboard-response","7","25980","0.0-7.0","L2SPAN_2023_46","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","9,8,3","","","",""
"survey-html-form-autofocus","8","29798","0.0-8.0","L2SPAN_2023_46","PRE","","3138.8000000715256","{""recall"":""83""}","practice recall","","","983","","83","",""
"html-keyboard-response","9","31535","0.0-9.0","L2SPAN_2023_46","PRE","","1068.8000000715256","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","10","32364","0.0-10.0","L2SPAN_2023_46","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","11","34172","0.0-11.0","L2SPAN_2023_46","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","12","35978","0.0-12.0","L2SPAN_2023_46","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","13","37776","0.0-13.0","L2SPAN_2023_46","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","14","39576","0.0-14.0","L2SPAN_2023_46","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","15","41380","0.0-15.0","L2SPAN_2023_46","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","4,8,2,1,9","","","",""
"survey-html-form-autofocus","16","43956","0.0-16.0","L2SPAN_2023_46","PRE","","1899.8999999761581","{""recall"":""219""}","practice recall","","","48219","","219","",""
